literal	pos	family	voice	note	source	confidence
一隊	u			no-source	fallback	low
上邊	u			no-source	fallback	low
不容	u			no-source	fallback	low
不惜	v			cow-single	cow	medium
丫麻	u			no-source	fallback	low
九成	u			no-source	fallback	low
二手	u			no-source	fallback	low
亞瑟	u			no-source	fallback	low
仔碌碌	u			no-source	fallback	low
企響度	u			no-source	fallback	low
佐治	u			no-source	fallback	low
佔領	n,v			cow-multi	cow	medium
你入	u			no-source	fallback	low
倉	u			no-source	fallback	low
個場	u			no-source	fallback	low
兆	n			cow-single	cow	medium
先到	u			no-source	fallback	low
兔	n			cow-single	cow	medium
入神	n			cow-single	cow	medium
再嚟	u			no-source	fallback	low
到邊	u			no-source	fallback	low
動漫展	u			no-source	fallback	low
十九	x			numeral	heuristic	high
協助	v			cow-single	cow	medium
南門亮	u			no-source	fallback	low
又點話	u			no-source	fallback	low
可惡	u			no-source	fallback	low
吉	u			no-source	fallback	low
同芷純	u			no-source	fallback	low
名器	u			no-source	fallback	low
呀媽	u			no-source	fallback	low
咖哩	u			no-source	fallback	low
啷	u			no-source	fallback	low
嗰下	u			no-source	fallback	low
噉樣樣	u			no-source	fallback	low
地身	u			no-source	fallback	low
塘福	u			no-source	fallback	low
墳	u			no-source	fallback	low
大汗	u			no-source	fallback	low
子喻	u			no-source	fallback	low
孔	n			cow-single	cow	medium
寶物	u			no-source	fallback	low
尬	u			no-source	fallback	low
屋內	u			no-source	fallback	low
年前	u			no-source	fallback	low
張俊雄	u			no-source	fallback	low
心仔	u			no-source	fallback	low
志	u			no-source	fallback	low
恐怕	u			no-source	fallback	low
想知	u			no-source	fallback	low
想行	u			no-source	fallback	low
想過	u			no-source	fallback	low
我卻	u			no-source	fallback	low
我照	u			no-source	fallback	low
我着	u			no-source	fallback	low
我緊	u			no-source	fallback	low
我點會	u			no-source	fallback	low
扒	u			no-source	fallback	low
打火機	n			cow-single	cow	medium
抵死	u			no-source	fallback	low
拿拿聲	u			no-source	fallback	low
捉到	v			cow-single	cow	medium
掌門	u			no-source	fallback	low
搏命	u			no-source	fallback	low
擦膠	u			no-source	fallback	low
擴大	n,v			cow-multi	cow	medium
擺酒	u			no-source	fallback	low
收得	u			no-source	fallback	low
故作	u			no-source	fallback	low
敢講	u			no-source	fallback	low
數秒	u			no-source	fallback	low
施	u			no-source	fallback	low
施法	u			no-source	fallback	low
早會	u			no-source	fallback	low
會明	u			no-source	fallback	low
未到	u			no-source	fallback	low
本應	u			no-source	fallback	low
校裙	u			no-source	fallback	low
格外	u			no-source	fallback	low
沉睡	u			no-source	fallback	low
洛	u			no-source	fallback	low
流緊	u			no-source	fallback	low
混合	n,v			cow-multi	cow	medium
溶	u			no-source	fallback	low
烏蠅	u			no-source	fallback	low
特	u			no-source	fallback	low
珍	u			no-source	fallback	low
琳琳	u			no-source	fallback	low
癢	v			cow-single	cow	medium
百滔	u			no-source	fallback	low
直入	u			no-source	fallback	low
直衝	u			no-source	fallback	low
着得	u			no-source	fallback	low
瞄	u			no-source	fallback	low
瞄準	n,v			cow-multi	cow	medium
空隙	n			cow-single	cow	medium
糟糟	u			no-source	fallback	low
紅燈	u			no-source	fallback	low
縫	u			no-source	fallback	low
翠兒	u			no-source	fallback	low
聖人	u			no-source	fallback	low
聽下	u			no-source	fallback	low
肉緊	u			no-source	fallback	low
肥佬	u			no-source	fallback	low
胃	n			cow-single	cow	medium
自助	n			cow-single	cow	medium
至得	u			no-source	fallback	low
航	u			no-source	fallback	low
落山	u			no-source	fallback	low
落返	u			no-source	fallback	low
蒸發	n,v			cow-multi	cow	medium
藍家	u			no-source	fallback	low
藍火	u			no-source	fallback	low
裸女	u			no-source	fallback	low
視野	u			no-source	fallback	low
解下	u			no-source	fallback	low
講咗一句	u			no-source	fallback	low
講嘅	u			no-source	fallback	low
譚仔	u			no-source	fallback	low
質問	n,v			cow-multi	cow	medium
起哄	u			no-source	fallback	low
越近	u			no-source	fallback	low
趕去	u			no-source	fallback	low
趕緊	n,v			cow-multi	cow	medium
輝	v			cow-single	cow	medium
轉過	u			no-source	fallback	low
返住	v			verb-suffix	heuristic	medium
迪士尼	u			no-source	fallback	low
違	u			no-source	fallback	low
那一刻	u			no-source	fallback	low
那裡	u			no-source	fallback	low
醫返	u			no-source	fallback	low
銀茹話	u			no-source	fallback	low
閱讀	u			no-source	fallback	low
陰謀	n			cow-single	cow	medium
難頂	u			no-source	fallback	low
頂硬上	u			no-source	fallback	low
頓	n			cow-single	cow	medium
食晏	u			no-source	fallback	low
香港地	u			no-source	fallback	low
高過	u			no-source	fallback	low
點半	u			no-source	fallback	low
點啦	u			no-source	fallback	low
黨	n			cow-single	cow	medium
管理人員	n			len4-noun-heuristic	heuristic	medium
哪種	u			no-source	fallback	low
衛生間	u			no-source	fallback	low
已達	u			no-source	fallback	low
賺了	u			no-source	fallback	low
授予	v			cow-single	cow	medium
不打	u			no-source	fallback	low
貫徹落實	u			no-source	fallback	low
僅有	u			no-source	fallback	low
僅爲	u			no-source	fallback	low
想讓	u			no-source	fallback	low
哼哼	u			no-source	fallback	low
我也不	u			no-source	fallback	low
只剩下	u			no-source	fallback	low
早在	u			no-source	fallback	low
漢化	u			no-source	fallback	low
贊	u			no-source	fallback	low
毛主席	u			no-source	fallback	low
爲其	u			no-source	fallback	low
中信	u			no-source	fallback	low
線程	u			no-source	fallback	low
基礎設施	u			no-source	fallback	low
她也	u			no-source	fallback	low
局域網	u			no-source	fallback	low
有的人	u			no-source	fallback	low
排行榜	u			no-source	fallback	low
又一次	u			no-source	fallback	low
該股	u			no-source	fallback	low
可我	u			no-source	fallback	low
集團公司	n			len4-noun-heuristic	heuristic	medium
不玩	u			no-source	fallback	low
最喜歡的	u			no-source	fallback	low
下發	u			no-source	fallback	low
新華社	u			no-source	fallback	low
要到	u			no-source	fallback	low
請在	u			no-source	fallback	low
用地	u			no-source	fallback	low
落在	u			no-source	fallback	low
幫他	u			no-source	fallback	low
是把	u			no-source	fallback	low
五大	u			no-source	fallback	low
全區	u			no-source	fallback	low
列爲	u			no-source	fallback	low
湘	u			no-source	fallback	low
較少	u			no-source	fallback	low
黃金周	u			no-source	fallback	low
什麼好	u			no-source	fallback	low
較小	u			no-source	fallback	low
刻錄	u			no-source	fallback	low
萬噸	u			no-source	fallback	low
也想	u			no-source	fallback	low
使我	u			no-source	fallback	low
爸爸媽媽	u			no-source	fallback	low
是一件	u			no-source	fallback	low
相關部門	n			len4-noun-heuristic	heuristic	medium
你以爲	u			no-source	fallback	low
翔	u			no-source	fallback	low
還有很多	u			no-source	fallback	low
解壓	u			no-source	fallback	low
這篇文章	u			no-source	fallback	low
想買	u			no-source	fallback	low
趙薇	u			no-source	fallback	low
胡錦濤	u			no-source	fallback	low
看着我	u			no-source	fallback	low
菜鳥	u			no-source	fallback	low
他家	u			no-source	fallback	low
進軍	n			cow-single	cow	medium
此人	u			no-source	fallback	low
能用	u			no-source	fallback	low
戴爾	u			no-source	fallback	low
安全生產	u			no-source	fallback	low
檯燈	u			no-source	fallback	low
溫家寶	u			no-source	fallback	low
可以直接	u			no-source	fallback	low
能做	u			no-source	fallback	low
天津市	u			no-source	fallback	low
前兩天	u			no-source	fallback	low
厚道	u			no-source	fallback	low
管理者	u			no-source	fallback	low
小靈通	u			no-source	fallback	low
個人觀點	u			no-source	fallback	low
調度	u			no-source	fallback	low
好萊塢	u			no-source	fallback	low
筆試	u			no-source	fallback	low
到貨	u			no-source	fallback	low
很像	u			no-source	fallback	low
訪談	u			no-source	fallback	low
農戶	u			no-source	fallback	low
俺們	u			no-source	fallback	low
徵集	u			no-source	fallback	low
第一位	u			no-source	fallback	low
這麼好	u			no-source	fallback	low
文中	u			no-source	fallback	low
版塊	u			no-source	fallback	low
一地	u			no-source	fallback	low
一看	u			no-source	fallback	low
一篇	u			no-source	fallback	low
一萬	x			numeral	heuristic	high
一言	u			no-source	fallback	low
一轉	u			no-source	fallback	low
一雙	u			no-source	fallback	low
一頁	u			no-source	fallback	low
不詳	u			no-source	fallback	low
乜水	u			no-source	fallback	low
乾坤	u			no-source	fallback	low
人用	u			no-source	fallback	low
介	u			no-source	fallback	low
介入	v			cow-single	cow	medium
仲叫	u			no-source	fallback	low
仲差	u			no-source	fallback	low
仲點	u			no-source	fallback	low
伯雷主教	u			no-source	fallback	low
住個	u			no-source	fallback	low
依段	u			no-source	fallback	low
侵犯	n,v			cow-multi	cow	medium
側面	n			cow-single	cow	medium
優秀	u			no-source	fallback	low
先見	u			no-source	fallback	low
到車	u			no-source	fallback	low
南行	u			no-source	fallback	low
原始	u			no-source	fallback	low
友仔	u			no-source	fallback	low
取而代	u			no-source	fallback	low
叫聲	n			cow-single	cow	medium
同緊	u			no-source	fallback	low
同雷米	u			no-source	fallback	low
吳嘉欣	u			no-source	fallback	low
呆滯	n,v			cow-multi	cow	medium
呎	u			no-source	fallback	low
咗出	u			no-source	fallback	low
咗支	u			no-source	fallback	low
咬住	v			verb-suffix	heuristic	medium
嚟做	u			no-source	fallback	low
地理	u			no-source	fallback	low
坑	n			cow-single	cow	medium
埗	u			no-source	fallback	low
壁	u			no-source	fallback	low
壽司	u			no-source	fallback	low
大到	u			no-source	fallback	low
大石	u			no-source	fallback	low
失業	n			cow-single	cow	medium
夾埋	u			no-source	fallback	low
娥	u			no-source	fallback	low
寧	u			no-source	fallback	low
寧威	u			no-source	fallback	low
封印	u			no-source	fallback	low
小貞個頭	u			no-source	fallback	low
少許	a,n			cow-multi	cow	medium
嵐	u			no-source	fallback	low
左雪琪	u			no-source	fallback	low
差好	u			no-source	fallback	low
年嚟	u			no-source	fallback	low
影到	u			no-source	fallback	low
心好	u			no-source	fallback	low
忍得	u			no-source	fallback	low
忿	u			no-source	fallback	low
思點	u			no-source	fallback	low
慧嫻	u			no-source	fallback	low
我頓	u			no-source	fallback	low
戴住	v			verb-suffix	heuristic	medium
手放	u			no-source	fallback	low
推斷	u			no-source	fallback	low
搖擺	n,v			cow-multi	cow	medium
搞過	u			no-source	fallback	low
攪到	u			no-source	fallback	low
收集	v			cow-single	cow	medium
整親	u			no-source	fallback	low
文星	u			no-source	fallback	low
時間裏	u			no-source	fallback	low
會理	u			no-source	fallback	low
望過	u			no-source	fallback	low
柒頭杰	u			no-source	fallback	low
柯	u			no-source	fallback	low
校門	u			no-source	fallback	low
植物人	u			no-source	fallback	low
極速	n			cow-single	cow	medium
橡根	u			no-source	fallback	low
歷	n			cow-single	cow	medium
永	u			no-source	fallback	low
沙藤	u			no-source	fallback	low
流到	u			no-source	fallback	low
淨低	u			no-source	fallback	low
清脆	u			no-source	fallback	low
準確	u			no-source	fallback	low
溝到	u			no-source	fallback	low
濛	u			no-source	fallback	low
無出	u			no-source	fallback	low
無極	u			no-source	fallback	low
無言以	u			no-source	fallback	low
父	n			cow-single	cow	medium
牛牛	u			no-source	fallback	low
玩法	u			no-source	fallback	low
生氣	v			cow-single	cow	medium
番嚟	u			no-source	fallback	low
痛痛	u			no-source	fallback	low
皮池	u			no-source	fallback	low
益	u			no-source	fallback	low
着到	u			no-source	fallback	low
睡眠	n			cow-single	cow	medium
砲	u			no-source	fallback	low
管家	v			cow-single	cow	medium
簽	u			no-source	fallback	low
精緻	n			cow-single	cow	medium
紅玥	u			no-source	fallback	low
紥	u			no-source	fallback	low
練波	u			no-source	fallback	low
耀	u			no-source	fallback	low
老身	u			no-source	fallback	low
肥成	u			no-source	fallback	low
腐爛	n,v			cow-multi	cow	medium
荷	u			no-source	fallback	low
虧佬話	u			no-source	fallback	low
蜜	n			cow-single	cow	medium
蝦餃	u			no-source	fallback	low
裙仔	u			no-source	fallback	low
襪仔	u			no-source	fallback	low
西面	u			no-source	fallback	low
訓陣	u			no-source	fallback	low
記錯	u			no-source	fallback	low
誘人	u			no-source	fallback	low
謎	u			no-source	fallback	low
講得啱	u			no-source	fallback	low
贊成	n,v			cow-multi	cow	medium
走先	u			no-source	fallback	low
走光	u			no-source	fallback	low
趣	u			no-source	fallback	low
跨	v			cow-single	cow	medium
轉去	u			no-source	fallback	low
通紅	u			no-source	fallback	low
過了	u			no-source	fallback	low
避過	u			no-source	fallback	low
那位	u			no-source	fallback	low
郁動	u			no-source	fallback	low
部份	u			no-source	fallback	low
重係	u			no-source	fallback	low
野要	u			no-source	fallback	low
鈴鈴	u			no-source	fallback	low
關事	u			no-source	fallback	low
防煙門	u			no-source	fallback	low
阿汁	u			no-source	fallback	low
阿達	u			no-source	fallback	low
陶	u			no-source	fallback	low
陸羽石	u			no-source	fallback	low
雙乳	u			no-source	fallback	low
頭也	u			no-source	fallback	low
風刃	u			no-source	fallback	low
飄浮	u			no-source	fallback	low
食㗎	u			no-source	fallback	low
食藥	u			no-source	fallback	low
飲下	u			no-source	fallback	low
飲醉	u			no-source	fallback	low
驚架	u			no-source	fallback	low
驚死	u			no-source	fallback	low
鬼佬	u			no-source	fallback	low
齒	n			cow-single	cow	medium
係數	u			no-source	fallback	low
美的	u			no-source	fallback	low
嘴脣	u			no-source	fallback	low
很漂亮	u			no-source	fallback	low
申請人	n			cow-single	cow	medium
發表評論	u			no-source	fallback	low
外包	u			no-source	fallback	low
麻痹	n			cow-single	cow	medium
僅代表	u			no-source	fallback	low
分析師	n			cow-single	cow	medium
櫃檯	u			no-source	fallback	low
維權	u			no-source	fallback	low
臺階	u			no-source	fallback	low
倡導	u			no-source	fallback	low
都想	u			no-source	fallback	low
呆在	u			no-source	fallback	low
商品房	u			no-source	fallback	low
序列號	u			no-source	fallback	low
後市	u			no-source	fallback	low
妳的	u			no-source	fallback	low
但她	u			no-source	fallback	low
售後	u			no-source	fallback	low
宏觀調控	u			no-source	fallback	low
重慶市	u			no-source	fallback	low
畝	u			no-source	fallback	low
喜歡你	u			no-source	fallback	low
被你	v		passive	prefix-passive	heuristic	medium
句話	u			no-source	fallback	low
而我	u			no-source	fallback	low
對話框	n			cow-single	cow	medium
過幾天	u			no-source	fallback	low
姜	u			no-source	fallback	low
就不是	u			no-source	fallback	low
想做	u			no-source	fallback	low
評爲	u			no-source	fallback	low
貸	v			cow-single	cow	medium
跑去	u			no-source	fallback	low
可不可以	u			no-source	fallback	low
帶我	u			no-source	fallback	low
紮實	u			no-source	fallback	low
中國企業	u			no-source	fallback	low
常州	u			no-source	fallback	low
中國移動	u			no-source	fallback	low
你對	u			no-source	fallback	low
輩子	u			no-source	fallback	low
一體化	u			no-source	fallback	low
中美	u			no-source	fallback	low
你個	u			no-source	fallback	low
商務部	u			no-source	fallback	low
帶走	u			no-source	fallback	low
很正常	u			no-source	fallback	low
西湖	u			no-source	fallback	low
不能用	u			no-source	fallback	low
快速發展	u			no-source	fallback	low
請不要	u			no-source	fallback	low
均可	u			no-source	fallback	low
專賣店	u			no-source	fallback	low
新高	u			no-source	fallback	low
是不可能	u			no-source	fallback	low
給個	u			no-source	fallback	low
好啦	u			no-source	fallback	low
很是	u			no-source	fallback	low
誰也	u			no-source	fallback	low
大漲	u			no-source	fallback	low
玩的	u			no-source	fallback	low
第一步	u			no-source	fallback	low
要買	u			no-source	fallback	low
初始化	u			no-source	fallback	low
想把	u			no-source	fallback	low
經濟學家	u			no-source	fallback	low
憋	u			no-source	fallback	low
市場化	u			no-source	fallback	low
說不出	u			no-source	fallback	low
納稅人	u			no-source	fallback	low
應在	u			no-source	fallback	low
打着	u			no-source	fallback	low
站着	u			no-source	fallback	low
首發	u			no-source	fallback	low
卻在	u			no-source	fallback	low
臺上	u			no-source	fallback	low
會說	u			no-source	fallback	low
在其	u			no-source	fallback	low
淪爲	u			no-source	fallback	low
踢球	u			no-source	fallback	low
跳槽	u			no-source	fallback	low
覺得很	u			no-source	fallback	low
食品安全	n			len4-noun-heuristic	heuristic	medium
點擊這裏	u			no-source	fallback	low
新股	u			no-source	fallback	low
高壓	u			no-source	fallback	low
不小	u			no-source	fallback	low
要走	u			no-source	fallback	low
也曾	u			no-source	fallback	low
哦哦	u			no-source	fallback	low
哪能	u			no-source	fallback	low
所做	u			no-source	fallback	low
計劃生育	u			no-source	fallback	low
還真是	u			no-source	fallback	low
只在	u			no-source	fallback	low
走的	u			no-source	fallback	low
人民法院	u			no-source	fallback	low
無爲	u			no-source	fallback	low
又開始	u			no-source	fallback	low
一直沒有	u			no-source	fallback	low
賣給	u			no-source	fallback	low
長髮	u			no-source	fallback	low
你來	u			no-source	fallback	low
方正	u			no-source	fallback	low
有爲	u			no-source	fallback	low
本來就是	u			no-source	fallback	low
進出口	u			no-source	fallback	low
表揚	u			no-source	fallback	low
跟我說	u			no-source	fallback	low
叫什麼	u			no-source	fallback	low
與衆不同	u			no-source	fallback	low
又會	u			no-source	fallback	low
很開心	u			no-source	fallback	low
一封信	u			no-source	fallback	low
一指	u			no-source	fallback	low
一百萬	x			numeral	heuristic	high
一顆	u			no-source	fallback	low
上位	u			no-source	fallback	low
下邊	u			no-source	fallback	low
不遠	u			no-source	fallback	low
且	u			no-source	fallback	low
世間	u			no-source	fallback	low
中二	u			no-source	fallback	low
之不過	u			no-source	fallback	low
九龍塘	u			no-source	fallback	low
人個	u			no-source	fallback	low
人死	u			no-source	fallback	low
仔去	u			no-source	fallback	low
仔好	u			no-source	fallback	low
仲見	u			no-source	fallback	low
仿佛	u			no-source	fallback	low
伴	u			no-source	fallback	low
個刻	u			no-source	fallback	low
借力	u			no-source	fallback	low
價	u			no-source	fallback	low
兩支	u			no-source	fallback	low
冤墓	u			no-source	fallback	low
凌嘯峻	u			no-source	fallback	low
出擊	u			no-source	fallback	low
出生	n,v			cow-multi	cow	medium
勿	u			no-source	fallback	low
北村	u			no-source	fallback	low
升上	u			no-source	fallback	low
去街	u			no-source	fallback	low
又被	u			no-source	fallback	low
叢	n			cow-single	cow	medium
告別	n,v			cow-multi	cow	medium
呸	u			no-source	fallback	low
唏噓	u			no-source	fallback	low
唐樓	u			no-source	fallback	low
嗰位	u			no-source	fallback	low
嘯	u			no-source	fallback	low
地城	u			no-source	fallback	low
地過	u			no-source	fallback	low
執到	u			no-source	fallback	low
大眼	u			no-source	fallback	low
奉	u			no-source	fallback	low
嬲嬲地	u			no-source	fallback	low
孟	u			no-source	fallback	low
家陣	u			no-source	fallback	low
屯門	u			no-source	fallback	low
左畫	u			no-source	fallback	low
己經	u			no-source	fallback	low
巷	u			no-source	fallback	low
幾喇	u			no-source	fallback	low
庭	u			no-source	fallback	low
弟	u			no-source	fallback	low
強者	u			no-source	fallback	low
得個	u			no-source	fallback	low
怒氣	n			cow-single	cow	medium
想試	u			no-source	fallback	low
愛的	u			no-source	fallback	low
我個樣	u			no-source	fallback	low
我學	u			no-source	fallback	low
我面	u			no-source	fallback	low
打仗	u			no-source	fallback	low
投胎	v			cow-single	cow	medium
捅	v			cow-single	cow	medium
接納	n,v			cow-multi	cow	medium
推門	u			no-source	fallback	low
放底	u			no-source	fallback	low
更令	u			no-source	fallback	low
會食	u			no-source	fallback	low
有料	u			no-source	fallback	low
有權	u			no-source	fallback	low
有無人	u			no-source	fallback	low
朱謀秉	u			no-source	fallback	low
核	n			cow-single	cow	medium
格鬥	n			cow-single	cow	medium
楓	u			no-source	fallback	low
比着	u			no-source	fallback	low
毛管	u			no-source	fallback	low
流流	u			no-source	fallback	low
溫習	u			no-source	fallback	low
瀉	v			cow-single	cow	medium
災難	n			cow-single	cow	medium
無晒	u			no-source	fallback	low
燥	u			no-source	fallback	low
燦爛	v			cow-single	cow	medium
父子	u			no-source	fallback	low
牛頭魚	u			no-source	fallback	low
王仙	u			no-source	fallback	low
畫條	u			no-source	fallback	low
當我想	u			no-source	fallback	low
疲勞	n			cow-single	cow	medium
痛得	u			no-source	fallback	low
直昇機	u			no-source	fallback	low
直直	u			no-source	fallback	low
真好	u			no-source	fallback	low
破處	u			no-source	fallback	low
私處	u			no-source	fallback	low
細蚊	u			no-source	fallback	low
續	u			no-source	fallback	low
而當	u			no-source	fallback	low
耷低頭	u			no-source	fallback	low
聖堂	u			no-source	fallback	low
聖廷堡	u			no-source	fallback	low
職	u			no-source	fallback	low
聽書	u			no-source	fallback	low
肌	u			no-source	fallback	low
腸	n			cow-single	cow	medium
茄菲貓	u			no-source	fallback	low
蘇軾	u			no-source	fallback	low
衰妹	u			no-source	fallback	low
觀點	n			cow-single	cow	medium
詩文	u			no-source	fallback	low
請假	u			no-source	fallback	low
講先	u			no-source	fallback	low
貼住	v			verb-suffix	heuristic	medium
貼身	u			no-source	fallback	low
跌低	u			no-source	fallback	low
轉個頭	u			no-source	fallback	low
辦	v			cow-single	cow	medium
迷叔	u			no-source	fallback	low
這句	u			no-source	fallback	low
邊啊	u			no-source	fallback	low
野事	u			no-source	fallback	low
闊	a			cow-single	cow	medium
陰唇	u			no-source	fallback	low
雋瑩	u			no-source	fallback	low
面書	u			no-source	fallback	low
頗	u			no-source	fallback	low
飲嘢	u			no-source	fallback	low
高節	u			no-source	fallback	low
魔法陣	u			no-source	fallback	low
麥當勞	u			no-source	fallback	low
開源	u			no-source	fallback	low
就讓	u			no-source	fallback	low
要得	u			no-source	fallback	low
鈣	n			cow-single	cow	medium
癡漢	u			no-source	fallback	low
喫點	u			no-source	fallback	low
與之	u			no-source	fallback	low
就可	u			no-source	fallback	low
竈	u			no-source	fallback	low
傅	u			no-source	fallback	low
不少人	u			no-source	fallback	low
斷了	u			no-source	fallback	low
有錢人	u			no-source	fallback	low
衆生	u			no-source	fallback	low
你真	u			no-source	fallback	low
民營企業	u			no-source	fallback	low
經營者	u			no-source	fallback	low
讓您	u			no-source	fallback	low
資本主義	n			len4-noun-heuristic	heuristic	medium
還可	u			no-source	fallback	low
事業單位	n			len4-noun-heuristic	heuristic	medium
什麼地方	u			no-source	fallback	low
說吧	u			no-source	fallback	low
使用者	n			cow-single	cow	medium
就叫	u			no-source	fallback	low
這幾年	u			no-source	fallback	low
河北省	u			no-source	fallback	low
清華大學	n			len4-noun-heuristic	heuristic	medium
不停的	u			no-source	fallback	low
後就	u			no-source	fallback	low
較強	u			no-source	fallback	low
兩週	u			no-source	fallback	low
持股	u			no-source	fallback	low
較好的	u			no-source	fallback	low
中文版	u			no-source	fallback	low
想看	u			no-source	fallback	low
日軍	u			no-source	fallback	low
發給你	u			no-source	fallback	low
省政府	u			no-source	fallback	low
社保	u			no-source	fallback	low
更高的	u			no-source	fallback	low
而非	u			no-source	fallback	low
逍遙	u			no-source	fallback	low
鉅額	u			no-source	fallback	low
不斷提高	u			no-source	fallback	low
遷移	n,v			cow-multi	cow	medium
摩托羅拉	u			no-source	fallback	low
鄧小平	u			no-source	fallback	low
煙臺	u			no-source	fallback	low
發病	n			cow-single	cow	medium
你沒	u			no-source	fallback	low
喫藥	u			no-source	fallback	low
瓶頸	n			cow-single	cow	medium
課件	u			no-source	fallback	low
都快	u			no-source	fallback	low
看下	u			no-source	fallback	low
小樣	u			no-source	fallback	low
產業鏈	u			no-source	fallback	low
這首	u			no-source	fallback	low
雙擊	u			no-source	fallback	low
公示	u			no-source	fallback	low
蒐	u			no-source	fallback	low
麼麼	u			no-source	fallback	low
洗淨	u			no-source	fallback	low
索愛	u			no-source	fallback	low
電子書	u			no-source	fallback	low
娛樂圈	u			no-source	fallback	low
小魚	n			cow-single	cow	medium
快去	u			no-source	fallback	low
註冊表	u			no-source	fallback	low
紅軍	u			no-source	fallback	low
公益	u			no-source	fallback	low
切爾西	u			no-source	fallback	low
北京大學	n			len4-noun-heuristic	heuristic	medium
確有	u			no-source	fallback	low
摘要	n			cow-single	cow	medium
淨利潤	u			no-source	fallback	low
部分內容	u			no-source	fallback	low
下個月	u			no-source	fallback	low
要我	u			no-source	fallback	low
國家級	u			no-source	fallback	low
潮溼	u			no-source	fallback	low
不曾	u			no-source	fallback	low
很早	u			no-source	fallback	low
最後一次	u			no-source	fallback	low
官兵	u			no-source	fallback	low
笑笑	u			no-source	fallback	low
邁	v			cow-single	cow	medium
這幾個	u			no-source	fallback	low
子公司	u			no-source	fallback	low
候選人	n			cow-single	cow	medium
管理部門	n			len4-noun-heuristic	heuristic	medium
骨幹	n			cow-single	cow	medium
控制器	u			no-source	fallback	low
世界上最	u			no-source	fallback	low
定了	u			no-source	fallback	low
擺在	u			no-source	fallback	low
點卡	u			no-source	fallback	low
嫁給	u			no-source	fallback	low
房貸	u			no-source	fallback	low
頗有	u			no-source	fallback	low
性行爲	u			no-source	fallback	low
大多數人	u			no-source	fallback	low
但還是	u			no-source	fallback	low
業內人士	n			len4-noun-heuristic	heuristic	medium
沒有必要	u			no-source	fallback	low
省市	u			no-source	fallback	low
太累	u			no-source	fallback	low
拿去	u			no-source	fallback	low
氣死	u			no-source	fallback	low
所示	u			no-source	fallback	low
提成	n			cow-single	cow	medium
產品質量	u			no-source	fallback	low
要從	u			no-source	fallback	low
招人	u			no-source	fallback	low
松下	u			no-source	fallback	low
聽起來	u			no-source	fallback	low
註銷	u			no-source	fallback	low
國美	u			no-source	fallback	low
採	v			cow-single	cow	medium
說要	u			no-source	fallback	low
是一樣的	u			no-source	fallback	low
增速	u			no-source	fallback	low
什麼事情	u			no-source	fallback	low
合法權益	u			no-source	fallback	low
分頁	u			no-source	fallback	low
走走	u			no-source	fallback	low
不完	v			verb-suffix	heuristic	medium
市場份額	u			no-source	fallback	low
作品內容	u			no-source	fallback	low
每一個人	u			no-source	fallback	low
浜	u			no-source	fallback	low
劇中	u			no-source	fallback	low
福建省	u			no-source	fallback	low
證監會	u			no-source	fallback	low
徐州	u			no-source	fallback	low
黃山	u			no-source	fallback	low
大一	u			no-source	fallback	low
網點	u			no-source	fallback	low
薇	n			cow-single	cow	medium
二手房	u			no-source	fallback	low
產業化	u			no-source	fallback	low
註釋	n			cow-single	cow	medium
一字	u			no-source	fallback	low
一發	u			no-source	fallback	low
一袋	u			no-source	fallback	low
三人組	u			no-source	fallback	low
上角	u			no-source	fallback	low
下野	u			no-source	fallback	low
不清	u			no-source	fallback	low
久唔久	u			no-source	fallback	low
久而久之	u			no-source	fallback	low
亭	n			cow-single	cow	medium
人多	u			no-source	fallback	low
人有	u			no-source	fallback	low
仔到	u			no-source	fallback	low
仔話	u			no-source	fallback	low
企咗響度	u			no-source	fallback	low
企埋	u			no-source	fallback	low
但點	u			no-source	fallback	low
住響	u			no-source	fallback	low
作勢	u			no-source	fallback	low
你仲未	u			no-source	fallback	low
你夠	u			no-source	fallback	low
依樣	u			no-source	fallback	low
便會	u			no-source	fallback	low
信念	n			cow-single	cow	medium
個次	u			no-source	fallback	low
做出	u			no-source	fallback	low
做成	u			no-source	fallback	low
傾緊	u			no-source	fallback	low
傾過	u			no-source	fallback	low
先得㗎	u			no-source	fallback	low
兜返	u			no-source	fallback	low
兩個韻	u			no-source	fallback	low
刨	u			no-source	fallback	low
到嗰	u			no-source	fallback	low
剛落	u			no-source	fallback	low
劑	n			cow-single	cow	medium
匙	n			cow-single	cow	medium
半鐘	u			no-source	fallback	low
卦	u			no-source	fallback	low
印傭	u			no-source	fallback	low
受山	v		passive	prefix-passive	heuristic	medium
右下角	u			no-source	fallback	low
周慧敏	u			no-source	fallback	low
咒文	u			no-source	fallback	low
咗六合彩	u			no-source	fallback	low
咗套	u			no-source	fallback	low
咗本	u			no-source	fallback	low
哞	u			no-source	fallback	low
唔在乎	u			no-source	fallback	low
啤梨	u			no-source	fallback	low
喉	u			no-source	fallback	low
嘈到	u			no-source	fallback	low
圈圈	u			no-source	fallback	low
執行	n,v			cow-multi	cow	medium
填	u			no-source	fallback	low
墮	u			no-source	fallback	low
壓迫	n,v			cow-multi	cow	medium
多心	u			no-source	fallback	low
大喝	u			no-source	fallback	low
大埔	u			no-source	fallback	low
好夜	u			no-source	fallback	low
好氣	u			no-source	fallback	low
姐麻	u			no-source	fallback	low
子政	u			no-source	fallback	low
學到	u			no-source	fallback	low
