literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note
不在話下	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不堪一擊	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不堪入目	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不堪入耳	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不堪回首	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不堪言狀	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不堪設想	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不堪造就	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不大不小	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不失時機	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不好意思	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不學無術	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不安其室	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不安於室	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不安本分	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不宣而戰	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不容分説	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不容置疑	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不容置辯	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不寒而慄	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不實之詞	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不屈不撓	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不屑一顧	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不平則鳴	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不得人心	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不得好死	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不得已而為之	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不得而知	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不得要領	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不得開交	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不急不徐	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不急之務	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不恤人言	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不恥下問	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不情之請	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不惑之年	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不惜工本	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不愧不怍	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不慌不忙	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不懂裝懂	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不懷好意	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不成器	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不成體統	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不打不相識	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不打自招	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不折不扣	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不拘一格	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不拘小節	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不擇手段	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不攻自破	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不敢自專	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不敢苟同	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不敢造次	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不敢高攀	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不文不武	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不明不白	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不明就裏	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不易之論	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不是冤家不聚頭	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不時之需	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不服水土	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不期而遇	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不歡而散	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不正之風	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不毛之地	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不求甚解	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不治之症	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不治而癒	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不為五斗米折腰	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不為人知	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不為已甚	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不無小補	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不理不睬	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不甘寂寞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不甘後人	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不甘示弱	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不甚了了	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不由分説	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不由自主	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不疾不徐	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不痛不癢	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不痴不聾	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不登大雅之堂	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不白之冤	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不相上下	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不相伯仲	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不省人事	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不眠不休	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不瞅不睬	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知丁董	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知不覺	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不知利害	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知天高地厚	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知廉恥	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不知所云	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知所以	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知所措	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不知所終	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不知死活	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不知痛癢	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知者不罪	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不知輕重	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不知進退	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不破不立	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不祧之祖	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不稂不莠	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不管三七二十一	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不管不顧	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不約而同	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不絕如縷	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不絕於耳	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不經之談	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不置可否	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不義之財	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不翼而飛	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不聞不問	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不聲不響	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不肖子孫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不能自已	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不能自拔	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不脛而走	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不自量力	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不苟言笑	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不藥而癒	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不見不散	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不見天日	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不見棺材不落淚	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不見經傳	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不解風情	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不言不語	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不言而喻	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不言自明	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不計其數	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不謀私利	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不謀而合	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不識之無	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不識大體	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不識好歹	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不識廬山真面目	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不識抬舉	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不識泰山	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不識高低	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不讓鬚眉	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不負眾望	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不費吹灰之力	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不越雷池	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不足掛齒	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不足為外人道	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不足為奇	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不足為怪	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不足為慮	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不足為憑	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不足為訓	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不足輕重	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不足齒數	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不辨菽麥	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不辭勞苦	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不辭而別	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
不辯菽麥	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不近人情	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不逞之徒	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不速之客	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不進則退	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不遑多讓	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不違農時	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不遠千里	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不遺餘力	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不避斧鉞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不避艱險	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不醉不歸	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不關痛癢	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不離不棄	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
不露聲色	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
不顧一切	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
不顧前後	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
世世代代	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
世外桃源	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
世態炎涼	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
世風日下	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
丟三拉四	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
丟三落四	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
丟人現眼	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
丟卒保車	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
丟盔卸甲	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
並行不悖	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
並駕齊驅	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
中庸之道	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
中流砥柱	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
中西合璧	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
中規中矩	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
中飽私囊	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
串親訪友	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
串通一氣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
久仰大名	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
久假不歸	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
久別重逢	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
久慕盛名	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
久病成醫	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
久而久之	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
久聞大名	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
久負盛名	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
之乎者也	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
乍暖還寒	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乍看之下	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
乏善可陳	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
乒乒乓乓	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
乘人之危	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乘其不備	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
乘勝追擊	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
乘堅策肥	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
乘興而來	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乘虛而入	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乘風破浪	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乘龍快婿	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乜乜物物	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
九九歸一	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
九九重陽	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
九五之尊	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
九唔搭八	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
九天攬月	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
九死一生	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
九泉之下	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
九流十家	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
九牛一毛	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
九牛二虎之力	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
九霄雲外	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乞哀告憐	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乳臭未乾	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乳臭未除	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
乾乾淨淨	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
乾柴烈火	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
乾淨利落	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
乾瞪眼	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
亂七八糟	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
亂作一團	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
亂彈琴	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
亂臣賊子	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
亂點鴛鴦	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
了無牽掛	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
予取予攜	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
予取予求	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
事不宜遲	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事不過三	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事不關己	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
事倍功半	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事出有因	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
事到如今	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
事半功倍	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
事在人為	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事在必行	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事實勝於雄辯	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事後諸葛亮	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事必躬親	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
事無大小	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
事與願違	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
事過境遷	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
二一添作五	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
二八佳人	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
二把刀	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
二話不説	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
互為因果	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
互相推諉	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
互通有無	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五世其昌	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五光十色	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五冬六夏	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五勞七傷	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五十步笑百步	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五味俱全	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五味雜陳	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
五彩繽紛	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五日京兆	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五毒俱全	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五湖四海	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五短身材	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
五福臨門	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
五穀豐登	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
五臟俱全	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
五臟六腑	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五色繽紛	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
五花八門	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五花大綁	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
五雷轟頂	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
