literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note	audit_verdict	audit_note
牽一髮而動全身	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
狗苟蠅營	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
現世現報	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
甘拜下風	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
甜言美語	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
當機立斷	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
盡善盡美	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
直捷了當	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
直認不諱	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
眾寡懸殊	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
眾星攢月	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
瞞天大謊	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
矯枉過正	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
確鑿不移	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
磨穿鐵硯	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
稱賢薦能	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
窮寇勿追	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
管見所及	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
築室反耕	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
素未謀面	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
綆短汲深	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
經一事長一智	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
緊箍咒	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
羌無故實	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
義憤填胸	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
義正辭嚴	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
習以成俗	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
聰明才智	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
胡里胡塗	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
胸有丘壑	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
自身難保	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
苟延殘喘	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
英雄所見略同	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
英雄無用武之地	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
荊棘滿途	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
萬里長城	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
落落難合	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
蒸蒸日上	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
虎尾春冰	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
蜻蜓點水	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
襟懷坦白	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
見事生風	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
見貌辨色	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
觸目傷心	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
計窮力屈	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
豁然開朗	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
貧無立錐之地	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
販夫俗子	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
貪猥無厭	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
超然物外	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
載舟覆舟	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
輕重緩急	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
道殣相望	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
違時絕俗	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
遷善改過	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
醉生夢死	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
金剛怒目	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
銘心鏤骨	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
長生久視	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
阿諛奉承	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
隱隱約約	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
雕蟲小技	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
青梅竹馬	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
頂名冒姓	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
顛倒是非	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
食前方丈	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
飢寒交迫	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
養兵千日用在一朝	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
馬翻人仰	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
魂牽夢縈	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
鱗次櫛比	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
麻痹大意	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
龍吟虎嘯	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
一命嗚呼	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
一望無際	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
一箭雙鵰	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
一鳴驚人	mother-external-match	idiom	chengyu	china-idiom+manual	external-membership;canonical-four-character-form	high	accept	unambiguous canonical chengyu	OK	fixed form plus reviewed definition/derivation evidence
七情六慾	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
三十而立	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
三教九流	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不動聲色	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不卑不亢	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不可收拾	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不稂不莠	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不約而同	mother-external-match	idiom	chengyu	china-idiom+manual	external-membership;canonical-four-character-form	high	accept	unambiguous canonical chengyu	OK	fixed form plus reviewed definition/derivation evidence
不言而喻	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
不識泰山	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
乍暖還寒	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
乘興而來	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
仗義執言	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
以卵擊石	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
依山傍水	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
借屍還魂	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
僧多粥少	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
光宗耀祖	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
免開尊口	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
全力以赴	mother-external-match	idiom	chengyu	china-idiom+manual	external-membership;canonical-four-character-form	high	accept	unambiguous canonical chengyu	OK	fixed form plus reviewed definition/derivation evidence
兩手空空	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
兩肋插刀	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
兵臨城下	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
劈風斬浪	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
功德圓滿	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
可歌可泣	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
各取所需	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
同歸於盡	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
四分五裂	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
坐享其成	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
大塊朵頤	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
大材小用	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
天網恢恢	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
天誅地滅	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
好聲好氣	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
如火如荼	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
如願以償	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
如魚得水	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
妙手空空	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
威武不屈	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
嫉惡如仇	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
官報私仇	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
寅吃卯糧	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
寸土必爭	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
就事論事	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
巍然屹立	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
平心靜氣	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
引以為戒	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
得過且過	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
心如刀絞	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
怒火中燒	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
情真意切	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
惡有惡報	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
慈眉善目	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
懷璧其罪	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
成千上萬	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
手忙腳亂	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
打成一片	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
抱薪救火	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
捨我其誰	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
搖頭晃腦	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
故步自封	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
教學相長	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
文武雙全	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
方寸已亂	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
旅進旅退	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
春意盎然	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
月黑風高	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
朽木糞土	mother-external-match	idiom	chengyu	china-idiom+agent	external-membership;rich-record;agent-review	high	accept	family reviewed from definition and derivation	OK	fixed form plus reviewed definition/derivation evidence
