literal	pos	family	voice	source	evidence	confidence	verdict	review_note
化鴟為鳳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
北叟失馬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
匠心獨運	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
匿影藏形	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十全十美	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
十八般武藝	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十冬臘月	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十室九空	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十成九穩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十拿九穩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十步芳草	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十羊九牧	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十萬八千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
十風五雨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千叮萬囑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千奇百怪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千嬌百媚	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千差萬別	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千慮一失	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千慮一得	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千方百計	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千瘡百孔	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千秋萬世	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千紅萬紫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千絲萬縷	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千言萬語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千變萬化	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千變萬軫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千軍萬馬	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review
千載一時	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千載難逢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千辛萬苦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千里送鵝毛	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千金一擲	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千金一諾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
千鈞一髮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半吞半吐	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半懂不懂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半截入土	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半文不白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半生半熟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半真半假	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review
半路出家	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半間不界	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
半面之交	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
卑不足道	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑禮厚幣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑躬屈節	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑躬屈膝	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑辭厚禮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑鄙齷齪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卑陋齷齪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卓有成效	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
南征北伐	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
南征北戰	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
南征北討	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
南柯一夢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
南腔北調	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博古通今	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博士買驢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博大精深	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博文約禮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博施濟眾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博物洽聞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博而不精	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博聞多識	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博聞強記	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博聞強識	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
博識多通	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卧虎藏龍	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
危如朝露	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
危如累卵	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卷地皮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卸磨殺驢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
卻之不恭	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚今薄古	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚古薄今	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚德載物	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚此薄彼	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚積薄發	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厚貌深情	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
原形畢露	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
厲行節約	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
去偽存真	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
又紅又專	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
及鋒而試	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反其道而行之	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反唇相稽	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反唇相譏	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反求諸己	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反老還童	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反臉無情	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反裘負芻	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反躬自問	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
反躬自責	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
取精用弘	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
取而代之	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
取長補短	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口不應心	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口快心直	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口惠而實不至	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口是心非	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口無擇言	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口直心快	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口碑載道	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口蜜腹劍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口角春風	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口角生風	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口説無憑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
口頭禪	x	chengyu		china-idiom+agent	formula-definition	high	accept	conservative syntax review
口齒生香	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
古井無波	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
古為今用	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
古貌古心	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
古道熱腸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
另謀高就	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
另起爐灶	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
只爭旦夕	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
只見樹木不見森林	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
叫苦不迭	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
可乘之機	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
可望不可即	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
可望而不可即	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
可望而不可及	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
史無前例	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
司馬昭之心	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
吃不了兜着走	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吃力不討好	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吃苦耐勞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吃裏扒外	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吃軟不吃硬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各人自掃門前雪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各個擊破	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各奔前程	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各得其所	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各為其主	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
各行其是	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
合情合理	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
合浦珠還	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
合而為一	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吉人天相	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吉人自有天相	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吉凶未卜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吉日良辰	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吉星高照	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同仇敵愾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同室操戈	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同心協力	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同心合力	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同心同德	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同日而語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同牀異夢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同甘共苦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同病相憐	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同符合契	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同聲同氣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
同舟共濟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名不正言不順	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名不虛傳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名列前茅	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名垂千古	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名垂青史	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名存實亡	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名實相符	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名山事業	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名山大川	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名師出高徒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名從主人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名滿天下	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名落孫山	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
名過其實	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吐故納新	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吐絲自縛	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
君子之交淡如水	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
君子好逑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吞聲忍氣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
否極泰來	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
含冤莫白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
含沙射影	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
含笑入地	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
含血噴人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
含辛茹苦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吳市吹簫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吳牛喘月	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吳頭楚尾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吹毛求疵	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吹燈拔蠟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吹牛拍馬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吹皺一池春水	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
吹簫乞食	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
告貸無門	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呢喃細語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
味同嚼蠟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼之欲出	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼天搶地	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼朋引類	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼牛作馬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼牛呼馬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
呼風喚雨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咄咄逼人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咆哮如雷	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
和衣而卧	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
和衷共濟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咎有應得	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咎由自取	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咬定牙根	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
咬定牙關	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀兵必勝	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀告賓服	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀毀骨立	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀而不傷	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀莫大於心死	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哀鴻遍野	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哭笑不得	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
哲人其萎	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唇槍舌劍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唇紅齒白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唇齒之邦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唇齒相依	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唉聲嘆氣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唯利是圖	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唯命是從	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唯唯諾諾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唯妙唯肖	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唯我獨尊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
唾面自乾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
啜菽飲水	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
啼飢號寒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
善自為謀	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
善門難開	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喊冤叫屈	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喋喋不休	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜上眉梢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜出望外	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜形於色	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜怒不形於色	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜怒哀樂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喜聞樂見	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喪家之狗	n	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review
喪心病狂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喪權辱國	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喪盡天良	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喪魂失魄	a	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review
喪魂落魄	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
喬裝打扮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嗜痂之癖	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嗤之以鼻	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嗷嗷待哺	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嘖嘖稱羨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嘖有煩言	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嘟嘟噥噥	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嘴甜心苦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
噓寒問暖	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
噤若寒蟬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
嚴陣以待	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
囊空如洗	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
囚首垢面	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四大皆空	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四平八穩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四時八節	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四海之內皆兄弟	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
四海昇平	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四海為家	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四海飄零	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四通八達	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
四面楚歌	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
回味無窮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
回天乏術	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
回心轉意	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
回頭是岸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因人而異	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因利乘便	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因勢利導	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因噎廢食	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因地制宜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因時制宜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因禍得福	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因襲陳規	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
因陋就簡	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
困獸猶鬥	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
固步自封	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
國富兵強	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
國富民安	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
國富民強	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
國步艱難	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
國色天香	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
